Name,Age,Nationality,Overall,Club,ClubName,ClubTop20,WageK,PreferredFoot,Position
Sun Weizhe,21,China PR,53,Beijing Renhe FC,Others,No,1,Right,MidField
G. Newell,21,England,52,Motherwell,Others,No,1,Right,Forward
H. Biggins,22,England,52,Fleetwood Town,Others,No,1,Right,MidField
S. Pryce,18,England,52,Swindon Town,Others,No,1,Right,Forward
C. Blues,20,Scotland,52,Livingston FC,Others,No,1,Right,MidField
K. Ramè,20,France,51,Foggia,Others,No,1,Right,MidField
B. Galach,17,Poland,51,Crawley Town,Others,No,1,Left,Forward
P. O'Conor,30,Republic of Ireland,57,Bray Wanderers,Others,No,1,Right,MidField
M. Asiri,25,Saudi Arabia,57,Al Qadisiyah,Others,No,2,Right,GoalKeeper
I. Turner,29,Republic of Ireland,57,St. Patrick's Athletic,Others,No,1,Right,MidField
O. Al Suhaymi,25,Saudi Arabia,56,Al Faisaly,Others,No,3,Left,MidField
A. Quintana,23,Colombia,55,Atlético Huila,Others,No,1,Right,GoalKeeper
C. Moreno,20,Mexico,55,CD Everton de Viña del Mar,Others,No,1,Right,GoalKeeper
R. Sulewski,24,Poland,55,Arka Gdynia,Others,No,1,Right,Defence
D. ?uczak,21,Poland,54,?l?sk Wroc?aw,Others,No,1,Right,MidField
F. Sasmay,20,Chile,53,CD Antofagasta,Others,No,1,Left,MidField
A. Estrada,19,Chile,53,San Luis de Quillota,Others,No,1,Left,MidField
A. Piróg,18,Poland,53,Korona Kielce,Others,No,1,Right,MidField
Sun Le,28,China PR,57,Shanghai SIPG FC,Others,No,2,Right,GoalKeeper
F. Konstandeliasz,19,Sweden,51,Malmö FF,Others,No,1,Left,MidField
J. Rondeel,23,Netherlands,57,De Graafschap,Others,No,1,Right,GoalKeeper
K. McIntosh,24,United States,55,Portland Timbers,Others,No,1,Right,GoalKeeper
D. Bochicchio,20,Italy,54,Sporting de Charleroi,Others,No,1,Right,GoalKeeper
F. Ranocchia,17,Italy,49,Perugia,Others,No,1,Right,MidField
S. Griffin,18,Republic of Ireland,47,Waterford FC,Others,No,1,Right,MidField
D. Walsh,18,Republic of Ireland,47,Waterford FC,Others,No,1,Left,Defence
R. Gutiérrez,22,Mexico,54,Monarcas Morelia,Others,No,1,Right,GoalKeeper
D. Mamaliga,17,Moldova,51,Bray Wanderers,Others,No,1,Right,MidField
O. Schindler,18,Hungary,51,SC Paderborn 07,Others,No,1,Right,MidField
A. McGovern,19,Republic of Ireland,51,Bray Wanderers,Others,No,1,Left,Defence
A. Delap,19,Republic of Ireland,51,Derry City,Others,No,1,Right,MidField
J. Ellis,17,England,51,Bray Wanderers,Others,No,1,Right,Forward
Zhang Lie,36,China PR,65,Beijing Renhe FC,Others,No,2,Right,GoalKeeper
Sui Weijie,35,China PR,62,Chongqing Dangdai Lifan FC SWM Team,Others,No,1,Right,GoalKeeper
Zheng Tao,32,China PR,58,Chongqing Dangdai Lifan FC SWM Team,Others,No,1,Right,Defence
Zhu Xiaogang,30,China PR,56,Dalian YiFang FC,Others,No,2,Right,MidField
Wang Liang,28,China PR,55,Dalian YiFang FC,Others,No,2,Right,Defence
Liu Le,29,China PR,55,Chongqing Dangdai Lifan FC SWM Team,Others,No,1,Left,Defence
Jin Hui,29,China PR,54,Beijing Renhe FC,Others,No,2,Right,Forward
C. Rodríguez,36,Argentina,68,Club Atlético Colón,Others,No,4,Right,Defence
F. Crivelli,36,Argentina,67,Club Atlético Tigre,Others,No,3,Right,GoalKeeper
P. Nymann,35,Denmark,65,AC Horsens,Others,No,2,Right,MidField
O. Storflor,38,Norway,63,Ranheim Fotball,Others,No,1,Right,Forward
M. Hamoud,33,Norway,62,Strømsgodset IF,Others,No,1,Right,Defence
T. Yokoyama,33,Japan,62,Hokkaido Consadole Sapporo,Others,No,1,Right,Defence
N. Sakemoto,33,Japan,62,Cerezo Osaka,Others,No,2,Right,Defence
H. Nakabayashi,32,Japan,60,Sanfrecce Hiroshima,Others,No,1,Left,GoalKeeper
J. Kamata,32,Japan,60,Kashiwa Reysol,Others,No,2,Right,Defence
K. Tanno,32,Japan,60,Cerezo Osaka,Others,No,1,Right,GoalKeeper
K. Eek,30,Norway,59,Ranheim Fotball,Others,No,1,Right,Defence
G. Poluzzi,30,Italy,57,SPAL,Others,No,2,Right,GoalKeeper
E. Bojang,17,Sweden,52,Hammarby IF,Others,No,1,Right,GoalKeeper
T. Yasui,19,Japan,52,Vissel Kobe,Others,No,1,Right,MidField
J. Delianov,18,Australia,52,Melbourne City FC,Others,No,1,Left,GoalKeeper
N. Marthinussen,18,Norway,52,SK Brann,Others,No,1,Right,Defence
K. Thiesson Kristensen,18,Denmark,52,Aarhus GF,Others,No,1,Right,GoalKeeper
P. Niyongabire,18,Burundi,51,Adelaide United,Others,No,1,Right,MidField
K. Konstandopoulos,19,Australia,51,Adelaide United,Others,No,1,Right,MidField
B. Hvidt,18,Denmark,51,Aarhus GF,Others,No,1,Right,MidField
T. Harigaya,19,Japan,51,Júbilo Iwata,Others,No,1,Right,MidField
S. Bugge Jepsen,18,Denmark,51,Aarhus GF,Others,No,1,Right,MidField
M. Najjar,18,Australia,51,Melbourne City FC,Others,No,1,Left,Forward
J. Harboe,18,Denmark,51,Odense Boldklub,Others,No,1,Right,MidField
T. Rohde,18,Denmark,51,AC Horsens,Others,No,1,Right,Forward
F. Hurtado,35,Chile,64,CD Antofagasta,Others,No,1,Left,GoalKeeper
M. Al Enazi,34,Saudi Arabia,62,Al Batin,Others,No,3,Right,Defence
Y. Zummack,22,Germany,56,VfL Sportfreunde Lotte,Others,No,1,Right,GoalKeeper
L. Wackerle,22,Austria,55,SKN St. Pölten,Others,No,1,Right,GoalKeeper
B. Syla,20,Austria,54,Wolfsberger AC,Others,No,2,Right,MidField
M. Pfeifer,18,Austria,54,TSV Hartberg,Others,No,1,Right,Defence
D. Bumberger,19,Austria,53,LASK Linz,Others,No,1,Left,Defence
N. Ochojski,19,Germany,53,SC Fortuna Köln,Others,No,1,Right,MidField
M. Al Sharimi,23,Saudi Arabia,54,Al Raed,Others,No,2,Right,Defence
H. Al Ruwaili,23,Saudi Arabia,53,Al Taawoun,Others,No,2,Right,Defence
A. Al Hassan,22,Saudi Arabia,53,Al Fateh,Others,No,3,Right,MidField
A. Al Sabahi,21,Saudi Arabia,52,Al Batin,Others,No,2,Right,MidField
M. Al Saeed,21,Saudi Arabia,52,Al Fateh,Others,No,3,Left,MidField
T. Lawal,18,Austria,48,LASK Linz,Others,No,1,Right,GoalKeeper
Nicolas Firmino,17,Brazil,48,New England Revolution,Others,No,1,Right,MidField
F. Due,25,Denmark,58,Randers FC,Others,No,1,Left,GoalKeeper
J. Vall,25,Sweden,57,IFK Norrköping,Others,No,1,Left,Defence
M. Halstead,27,England,57,Morecambe,Others,No,1,Right,GoalKeeper
E. Wearen,25,Republic of Ireland,55,Limerick FC,Others,No,1,Right,MidField
M. Barker,24,Republic of Ireland,55,Bohemian FC,Others,No,1,Right,Defence
Jang Eun Gyu,25,Korea Republic,55,Sangju Sangmu FC,Others,No,1,Right,MidField
D. Araki,24,Japan,55,Júbilo Iwata,Others,No,1,Right,MidField
K. Begois,36,Belgium,67,FC Groningen,Others,No,2,Right,GoalKeeper
R. Suzuki,24,Japan,57,Gamba Osaka,Others,No,1,Right,GoalKeeper
A. Pearce,21,Australia,56,Central Coast Mariners,Others,No,1,Right,GoalKeeper
N. Marfelt,23,Denmark,56,SønderjyskE,Others,No,2,Left,Defence
T. Hagelskjaer,23,Denmark,56,Vejle Boldklub,Others,No,1,Right,GoalKeeper
E. Durmaz,18,Sweden,54,Hammarby IF,Others,No,1,Right,MidField
M. Ndione,18,Sweden,54,IF Elfsborg,Others,No,1,Right,Forward
S. Brady,22,Australia,54,Brisbane Roar,Others,No,1,Right,Forward
J. Storevik,21,Norway,54,Sandefjord Fotball,Others,No,1,Right,GoalKeeper
K. Velde,18,Norway,54,FK Haugesund,Others,No,1,Right,Forward
A. Bahtijar,19,Sweden,53,GIF Sundsvall,Others,No,1,Right,MidField
S. Fukahori,20,Japan,53,Nagoya Grampus,Others,No,1,Right,Forward
Y. Mustafa,19,Australia,53,Perth Glory,Others,No,1,Right,Forward
Choi Beom Kyung,21,Korea Republic,53,Incheon United FC,Others,No,1,Right,MidField
J. Smylie,18,Australia,53,Central Coast Mariners,Others,No,1,Right,Forward
L. Hunn,19,Switzerland,51,Grasshopper Club Zürich,Others,No,1,Right,GoalKeeper
D. Mehmedovic,20,Austria,51,SKN St. Pölten,Others,No,2,Left,Defence
E. Destanoglu,17,Turkey,50,Be?ikta? JK,Others,No,1,Right,GoalKeeper
D. Valdelamar,21,Colombia,53,Independiente Santa Fe,Others,No,1,Right,MidField
Deng Yubiao,21,China PR,51,Guangzhou Evergrande Taobao FC,Others,No,2,Right,MidField
A. Perea,17,Colombia,50,Atlético Nacional,Others,No,1,Right,MidField
M. Wasielewski,24,Poland,57,Lech Pozna?,Others,No,1,Right,Defence
H. Pernía,27,Venezuela,57,Atlético Bucaramanga,Others,No,1,Right,Defence
C. McWilliams,17,England,51,Northampton Town,Others,No,1,Right,Defence
S. Whaler,17,England,50,Northampton Town,Others,No,1,Right,MidField
J. Morris,18,England,50,Doncaster Rovers,Others,No,1,Right,Forward
J. Lynch,18,England,50,Crewe Alexandra,Others,No,1,Right,MidField
J. Egan,19,England,49,Carlisle United,Others,No,1,Right,MidField
O. Finney,20,England,49,Crewe Alexandra,Others,No,2,Left,MidField
F. Sinclair-Smith,17,England,49,Blackpool,Others,No,1,Right,Forward
R. Griffiths,18,England,49,Crewe Alexandra,Others,No,1,Right,MidField
R. Hughes,19,Scotland,49,Hamilton Academical FC,Others,No,1,Right,MidField
M. Roberts,17,England,48,Northampton Town,Others,No,1,Left,MidField
K. Taylor,17,England,48,Shrewsbury,Others,No,1,Left,MidField
T. Pugh,17,England,48,Scunthorpe United,Others,No,1,Right,MidField
S. Adewusi,18,Nigeria,48,Carlisle United,Others,No,1,Right,MidField
L. Collins,17,Wales,47,Newport County,Others,No,1,Right,MidField
J. Young,18,Scotland,47,Swindon Town,Others,No,1,Left,Forward
J. Lundstram,19,England,47,Crewe Alexandra,Others,No,1,Right,MidField
D. Walker-Rice,17,England,47,Tranmere Rovers,Others,No,1,Right,Forward
B. Zamora,20,Colombia,51,Independiente Santa Fe,Others,No,1,Right,MidField
Wang Min,23,China PR,53,Chongqing Dangdai Lifan FC SWM Team,Others,No,1,Right,GoalKeeper
Liang Jinhu,21,China PR,52,Jiangsu Suning FC,Others,No,2,Right,Defence
Ali Shirmemet,21,China PR,51,Henan Jianye FC,Others,No,2,Right,MidField
Abdugheni Abduhamit,20,China PR,51,Jiangsu Suning FC,Others,No,2,Right,MidField
K. Lara,16,Colombia,50,Atlético Huila,Others,No,1,Right,Defence
Zhu Jiayi,19,China PR,49,Shanghai SIPG FC,Others,No,1,Right,Defence
D. Whitaker,37,England,61,Macclesfield Town,Others,No,1,Right,MidField
D. Shiels,33,Northern Ireland,59,Derry City,Others,No,1,Right,MidField
B. Tozer,28,England,57,Cheltenham Town,Others,No,2,Right,Defence
R. Caicedo,24,Colombia,56,Boyacá Chicó FC,Others,No,1,Right,GoalKeeper
M. Lis,21,Poland,56,Wis?a Kraków,Others,No,1,Right,GoalKeeper
F. Acosta,24,Colombia,54,Boyacá Chicó FC,Others,No,1,Right,MidField
M. Ibacache,19,Chile,54,CD Everton de Viña del Mar,Others,No,1,Left,Defence
D. Castro,24,Chile,54,Unión La Calera,Others,No,1,Right,Forward
S. Heaney,22,Republic of Ireland,54,Bray Wanderers,Others,No,1,Left,Defence
E. Löder,18,Germany,53,FC Erzgebirge Aue,Others,No,1,Right,MidField
J. Brady,21,Republic of Ireland,53,Limerick FC,Others,No,1,Right,GoalKeeper
D. Gibbons,20,Republic of Ireland,53,Bray Wanderers,Others,No,1,Right,Defence
W. D?ugosz,18,Poland,53,Korona Kielce,Others,No,1,Right,MidField
J. Giraldo,20,Colombia,53,Independiente Medellín,Others,No,1,Left,Defence
M. Ormazábal,19,Chile,52,Curicó Unido,Others,No,1,Right,Forward
N. Baba,21,Republic of Ireland,52,Waterford FC,Others,No,1,Right,Defence
C. Månsson,37,Sweden,58,Kristiansund BK,Others,No,1,Right,GoalKeeper
B. Lekström,37,Sweden,58,Hammarby IF,Others,No,1,Right,GoalKeeper
K. Kitamoto,36,Japan,57,Vissel Kobe,Others,No,1,Right,Defence
K. Stamatopoulos,38,Canada,57,AIK,Others,No,1,Left,GoalKeeper
Y. Nishibe,37,Japan,55,Shimizu S-Pulse,Others,No,1,Right,GoalKeeper
Y. Tokunaga,34,Japan,63,V-Varen Nagasaki,Others,No,1,Right,Defence
Kim Hyo Gi,31,Korea Republic,58,Gyeongnam FC,Others,No,1,Right,Forward
A. Abdulhameed,24,Saudi Arabia,56,Al Hazem,Others,No,1,Left,GoalKeeper
M. Attiyah,26,Saudi Arabia,54,Ohod Club,Others,No,3,Right,MidField
S. Bareiro,19,Paraguay,51,CD Huachipato,Others,No,1,Right,Forward
C. Romaña,18,Colombia,51,Boyacá Chicó FC,Others,No,1,Right,Defence
K. Salazar,19,Colombia,51,Atlético Huila,Others,No,1,Left,MidField
C. Pavéz,19,Chile,51,Curicó Unido,Others,No,1,Right,MidField
J. Szpaderski,19,Poland,51,Mied? Legnica,Others,No,1,Right,GoalKeeper
J. Pawlik,18,Poland,51,Zag??bie Sosnowiec,Others,No,1,Left,Defence
H. Kisiel,17,Poland,51,Mied? Legnica,Others,No,1,Right,MidField
W. Le Pogam,25,France,56,Neuchâtel Xamax,Others,No,1,Left,Defence
M. Bersano,25,United States,56,San Jose Earthquakes,Others,No,1,Right,GoalKeeper
M. Minder,25,Switzerland,55,Neuchâtel Xamax,Others,No,1,Left,GoalKeeper
R. Stewart,23,Scotland,53,Livingston FC,Others,No,1,Right,GoalKeeper
L. Coddington,23,England,53,Northampton Town,Others,No,1,Right,GoalKeeper
B. Chevreuil,21,Haiti,52,La Berrichonne de Châteauroux,Others,No,1,Right,MidField
R. Sears,19,England,52,Shrewsbury,Others,No,1,Right,Defence
S. Al Saeed,19,Saudi Arabia,50,Al Taawoun,Others,No,1,Right,MidField
Y. Kaiser,20,Switzerland,53,FC Basel 1893,Others,No,2,Right,Defence
F. Langsdorf,22,United States,53,Portland Timbers,Others,No,1,Right,Forward
L. Za?uska,36,Poland,67,Pogo? Szczecin,Others,No,1,Right,GoalKeeper
N. Ramos,36,Colombia,67,Atlético Bucaramanga,Others,No,1,Left,GoalKeeper
G. Wojtkowiak,34,Poland,63,Lechia Gda?sk,Others,No,2,Right,Defence
F. Ibsen,21,Denmark,54,FC København,Others,No,1,Right,GoalKeeper
L. Cornic,17,Norway,50,Vålerenga Fotball,Others,No,1,Right,Defence
C. Björk,18,Sweden,50,IFK Norrköping,Others,No,1,Right,Forward
M. Sutton,18,Australia,50,Melbourne Victory,Others,No,1,Right,GoalKeeper
J. Mortensen,17,Denmark,50,Esbjerg fB,Others,No,1,Right,Defence
Xu Jiamin,24,China PR,53,Beijing Renhe FC,Others,No,1,Right,GoalKeeper
Li Fang,25,China PR,53,Chongqing Dangdai Lifan FC SWM Team,Others,No,1,Right,Defence
Liu Yu,23,China PR,53,Changchun Yatai FC,Others,No,1,Right,GoalKeeper
Wu Wei,21,China PR,52,Tianjin Quanjian FC,Others,No,2,Right,MidField
C. Royo,17,Germany,51,SV Darmstadt 98,Others,No,1,Left,Defence
L. Saxton,28,England,58,GIF Sundsvall,Others,No,1,Right,GoalKeeper
L. Italiano,27,Australia,58,Newcastle Jets,Others,No,1,Left,GoalKeeper
E. Sivertsen,27,Norway,57,Kristiansund BK,Others,No,1,Left,Defence
K. Shiihashi,21,Japan,56,Vegalta Sendai,Others,No,1,Right,MidField
J. Hoormann,19,Germany,53,SV Meppen,Others,No,1,Right,Defence
M. Y?ld?z,19,Turkey,52,Kasimpa?a SK,Others,No,1,Right,GoalKeeper
T. Zwarthoed,35,Netherlands,63,NAC Breda,Others,No,1,Right,GoalKeeper
T. Kruse,35,Germany,63,FC Energie Cottbus,Others,No,1,Left,MidField
P. Jensen,20,Denmark,56,FC Nordsjælland,Others,No,1,Right,GoalKeeper
K. Mendoza,23,Denmark,56,AC Horsens,Others,No,1,Right,GoalKeeper
M. Karlsson,22,Sweden,55,Örebro SK,Others,No,1,Right,GoalKeeper
M. Goto,24,Japan,55,Shonan Bellmare,Others,No,1,Right,GoalKeeper
A. Groundstroem,18,Sweden,54,IF Brommapojkarna,Others,No,1,Right,Defence
E. Kalsaas,17,Norway,54,SK Brann,Others,No,1,Right,Defence
S. Yoneda,22,Japan,54,V-Varen Nagasaki,Others,No,1,Right,MidField
S. Sinyan,21,Norway,53,Lillestrøm SK,Others,No,1,Right,MidField
M. Matsumoto,23,Japan,53,Júbilo Iwata,Others,No,1,Right,MidField
K. Krygård,18,Norway,53,FK Haugesund,Others,No,1,Right,Forward
N. Gribenco,21,Denmark,52,Aarhus GF,Others,No,1,Left,MidField
F. Delaveris,17,Norway,51,Odds BK,Others,No,1,Right,Forward
F. Mortensen,19,Denmark,51,AC Horsens,Others,No,1,Right,MidField
K. Ogudugu,17,Norway,51,Vålerenga Fotball,Others,No,1,Right,Forward
C. Øyvann,18,Norway,51,FK Bodø/Glimt,Others,No,1,Right,Defence
R. Meshino,20,Japan,51,Gamba Osaka,Others,No,2,Right,Forward
A. Bark,17,Sweden,51,Örebro SK,Others,No,1,Right,Forward
A. Bærtelsen,18,Denmark,51,Aalborg BK,Others,No,1,Right,Defence
G. Smith,18,Northern Ireland,51,Dundalk,Others,No,1,Right,Defence
Kim Jong Jin,19,Korea Republic,51,Gyeongnam FC,Others,No,1,Right,MidField
T. Mourdoukoutas,19,Australia,51,Western Sydney Wanderers,Others,No,1,Right,Defence
A. Ammitzbøll,19,Denmark,51,Aarhus GF,Others,No,1,Right,Forward
I. Richards,19,Australia,51,Adelaide United,Others,No,1,Left,GoalKeeper
W. Møller,20,Denmark,51,Esbjerg fB,Others,No,1,Right,Forward
B. O'Gorman,16,Republic of Ireland,50,Bray Wanderers,Others,No,1,Right,MidField
D. Dillon,19,Republic of Ireland,50,Shamrock Rovers,Others,No,1,Right,MidField
P. Omochere,17,Republic of Ireland,50,Bohemian FC,Others,No,1,Right,MidField
J. Martin,19,Republic of Ireland,50,Waterford FC,Others,No,1,Right,MidField
E. Bilen,17,Turkey,50,Göztepe SK,Others,No,1,Right,GoalKeeper
T. Callens,19,France,50,Stade Malherbe Caen,Others,No,1,Left,GoalKeeper
G. Hollywood,16,Republic of Ireland,49,Bray Wanderers,Others,No,1,Right,MidField
N. Morahan,18,Republic of Ireland,49,Sligo Rovers,Others,No,1,Right,MidField
Y. Abe,36,Japan,67,Urawa Red Diamonds,Others,No,3,Right,Defence
R. Piscitelli,24,Italy,55,Carpi,Others,No,1,Left,GoalKeeper
B. Al Bahrani,23,Saudi Arabia,54,Al Fateh,Others,No,2,Right,GoalKeeper
K. Al Mozaibri,21,Saudi Arabia,53,Al Batin,Others,No,1,Right,GoalKeeper
A. Al Suhaimi,21,Saudi Arabia,52,Ohod Club,Others,No,2,Right,MidField
G. Figliuzzi,17,Italy,49,Crotone,Others,No,1,Right,GoalKeeper
Du Wei,36,China PR,64,Guizhou Hengfeng FC,Others,No,2,Right,Defence
Qiu Shengjiong,32,China PR,57,Shanghai Greenland Shenhua FC,Others,No,2,Right,GoalKeeper
M. Or?owski,24,Poland,56,Lech Pozna?,Others,No,1,Right,Defence
D. G?ska,21,Poland,54,?l?sk Wroc?aw,Others,No,1,Right,MidField
C. Walsh,17,Republic of Ireland,50,Bray Wanderers,Others,No,1,Right,Defence
J. Cleary,16,Republic of Ireland,50,Bohemian FC,Others,No,1,Right,GoalKeeper
M. Tacalfred,37,France,65,AJ Auxerre,Others,No,1,Right,Defence
A. Grinwis,26,United States,56,Orlando City SC,Others,No,1,Right,GoalKeeper
C. Lyon,26,United States,56,Los Angeles FC,Others,No,1,Right,GoalKeeper
C. Haas,25,Austria,55,SK Rapid Wien,Others,No,2,Right,GoalKeeper
A. Eleftheriou,20,England,51,Watford,Others,No,5,Right,MidField
Choi Hyo Jin,34,Korea Republic,63,Jeonnam Dragons,Others,No,2,Right,Defence
T. Jacobsen,34,Norway,63,FK Bodø/Glimt,Others,No,1,Right,Defence
S. Poulsen,33,Denmark,61,SønderjyskE,Others,No,2,Left,Defence
N. Kikuchi,33,Japan,61,Hokkaido Consadole Sapporo,Others,No,1,Right,Defence
R. Way,28,Australia,58,Wellington Phoenix,Others,No,1,Right,Defence
R. Noda,29,Japan,57,Shonan Bellmare,Others,No,1,Right,MidField
M. Schantl,17,Austria,50,TSV Hartberg,Others,No,1,Right,MidField
A. Osmanoski,18,FYR Macedonia,50,SpVgg Unterhaching,Others,No,1,Right,MidField
A. Kaltner,18,Germany,47,SpVgg Unterhaching,Others,No,1,Right,Forward
B. Murphy,33,Republic of Ireland,59,St. Patrick's Athletic,Others,No,1,Right,GoalKeeper
M. Malec,23,Poland,54,Pogo? Szczecin,Others,No,1,Left,Defence
P. Wi?niewski,19,Poland,54,Górnik Zabrze,Others,No,1,Right,Defence
F. Majchrowicz,18,Poland,53,Cracovia,Others,No,1,Right,GoalKeeper
D. Diaz,22,Chile,53,San Luis de Quillota,Others,No,1,Right,Defence
K. Jaksik,18,Poland,53,Górnik Zabrze,Others,No,1,Right,Defence
D. Palacios,21,Colombia,53,Jaguares de Córdoba,Others,No,1,Left,Defence
A. Hughes,38,Northern Ireland,65,Heart of Midlothian,Others,No,2,Right,Defence
M. Rose,35,England,62,Macclesfield Town,Others,No,1,Left,MidField
C. Woodman,35,England,62,Exeter City,Others,No,2,Left,Defence
B. Purkiss,34,England,61,Walsall,Others,No,2,Right,Defence
G. Thompson,37,England,60,Morecambe,Others,No,1,Right,MidField
P. Edwards,32,England,58,Bury,Others,No,2,Right,Defence
M. Nottingham,29,St Kitts Nevis,56,Blackpool,Others,No,1,Right,Defence
M. Schlosser,19,Germany,53,FC Erzgebirge Aue,Others,No,1,Right,GoalKeeper
R. Treacy,19,Republic of Ireland,53,Dundalk,Others,No,1,Right,GoalKeeper
M. O'Connor,22,Republic of Ireland,53,Bray Wanderers,Others,No,1,Right,GoalKeeper
M. Restrepo,37,Colombia,66,Once Caldas,Others,No,1,Right,MidField
C. Stefa?czyk,34,Poland,62,Wis?a P?ock,Others,No,1,Right,Defence
V. Cordoba,30,Colombia,58,Itagüí Leones FC,Others,No,1,Right,MidField
K. Shibato,22,Japan,53,Urawa Red Diamonds,Others,No,1,Right,MidField
R. Okazaki,26,Japan,56,Shonan Bellmare,Others,No,1,Right,Defence
Lee Joon Hee,24,Korea Republic,56,Gyeongnam FC,Others,No,1,Right,GoalKeeper
Lee Kwang Jin,26,Korea Republic,56,Gyeongnam FC,Others,No,1,Right,MidField
T. Shibuya,23,Japan,55,Nagoya Grampus,Others,No,1,Right,GoalKeeper
Kang Yun Koo,25,Korea Republic,54,Daegu FC,Others,No,1,Left,MidField
Y. Omoto,23,Japan,54,V-Varen Nagasaki,Others,No,1,Right,MidField
J. McGuire,23,United States,53,Philadelphia Union,Others,No,1,Right,GoalKeeper
D. Bedoya,24,Colombia,52,New York City FC,Others,No,1,Right,MidField
M. Wo?niak,17,Poland,51,Lechia Gda?sk,Others,No,1,Right,GoalKeeper
S. Parada,17,Chile,50,San Luis de Quillota,Others,No,1,Right,Forward
C. Mesa,20,Colombia,50,América de Cali,Others,No,1,Right,Defence
T. Brownsword,18,England,50,Morecambe,Others,No,1,Right,Defence
B. Horton,17,England,50,Doncaster Rovers,Others,No,1,Left,Defence
J. Foulston,17,Wales,50,Newport County,Others,No,1,Left,Defence
J. Sheridan,18,England,50,Oldham Athletic,Others,No,1,Left,Defence
T. Johnson,17,England,50,Crewe Alexandra,Others,No,1,Right,Defence
J. Greatorex,18,England,49,Barnsley,Others,No,1,Right,GoalKeeper
J. James,18,Republic of Ireland,49,Luton Town,Others,No,1,Right,Defence
A. Kelsey,18,England,49,Scunthorpe United,Others,No,1,Right,GoalKeeper
W. Henry,19,England,49,Swindon Town,Others,No,1,Right,GoalKeeper
W. Appleyard,18,England,49,Stevenage,Others,No,1,Right,GoalKeeper
D. Szczepaniak,18,Poland,48,Morecambe,Others,No,1,Right,GoalKeeper
H. Norris,17,England,48,Oldham Athletic,Others,No,1,Right,Defence
C. Hawkins,18,England,48,Burton Albion,Others,No,1,Left,GoalKeeper
J. Williams,17,England,48,Northampton Town,Others,No,1,Right,Defence
J. Norville-Williams,18,England,47,Cambridge United,Others,No,1,Left,Defence
S. Squire,18,England,47,Cambridge United,Others,No,1,Right,MidField
Cai Haojian,22,China PR,51,Guangzhou R&F; FC,Others,No,2,Right,MidField
Yang Fangzhi,21,China PR,51,Dalian YiFang FC,Others,No,2,Right,Forward
Yu Bin,22,China PR,51,Beijing Renhe FC,Others,No,2,Right,Defence
Cao Sheng,23,China PR,51,Shandong Luneng TaiShan FC,Others,No,2,Right,Forward
Zhu Zhengyu,23,China PR,51,Guizhou Hengfeng FC,Others,No,2,Right,MidField
Xie Xiaofan,20,China PR,49,Jiangsu Suning FC,Others,No,2,Right,MidField
Yin Congyao,21,China PR,49,Chongqing Dangdai Lifan FC SWM Team,Others,No,1,Right,MidField
Li Yuyang,20,China PR,49,Guangzhou R&F; FC,Others,No,1,Right,MidField
R. Millen,23,Scotland,52,Kilmarnock,Others,No,1,Right,Defence
A. André Jr,21,Morocco,52,Bristol Rovers,Others,No,1,Right,GoalKeeper
A. Read,18,England,51,Luton Town,Others,No,1,Left,MidField
S. Twine,18,England,51,Swindon Town,Others,No,1,Right,Forward
I. Umbdenstock,19,France,51,FC Sochaux-Montbéliard,Others,No,1,Right,MidField
Carlos Mendes Gomes,19,Spain,51,Morecambe,Others,No,1,Right,MidField
J. Heaton,21,England,51,St. Mirren,Others,No,1,Right,Defence
A. Poggenborg,34,Germany,60,SC Fortuna Köln,Others,No,1,Right,GoalKeeper
S. Avanzini,23,Italy,54,AC Horsens,Others,No,1,Right,Defence
H. Strömgren,21,Sweden,54,Kalmar FF,Others,No,1,Right,GoalKeeper
G. Harada,20,Japan,54,Yokohama F. Marinos,Others,No,1,Right,GoalKeeper
H. Sharahili,28,Saudi Arabia,54,Al Batin,Others,No,3,Right,Forward
N. Baumann,22,Switzerland,54,FC Zürich,Others,No,1,Right,GoalKeeper
D. Feka,21,Kosovo,53,FC Luzern,Others,No,1,Left,MidField
K. Yoshio,20,Japan,53,Yokohama F. Marinos,Others,No,1,Left,MidField
M. Hayashi,21,Japan,53,Gamba Osaka,Others,No,1,Right,GoalKeeper
G. Henriksson,20,Sweden,53,IF Elfsborg,Others,No,1,Right,Defence
O. Kåhed,19,Sweden,52,Örebro SK,Others,No,1,Right,Defence
R. Fujimura,19,Japan,52,Hokkaido Consadole Sapporo,Others,No,1,Right,Forward
B. Bytyqi,21,Albania,52,Aalborg BK,Others,No,1,Left,Defence
N. Senoo,21,Japan,52,Gamba Osaka,Others,No,1,Right,MidField
S. Kayembe,17,Sweden,52,IK Sirius,Others,No,1,Left,MidField
A. Knüver,19,Germany,52,SC Preußen Münster,Others,No,1,Right,MidField
A. Öhman,20,Sweden,52,IFK Göteborg,Others,No,1,Right,Defence
S. Al Wehimid,20,Saudi Arabia,50,Al Nassr,Others,No,2,Right,GoalKeeper
G. Arndal-Lauritzen,20,Denmark,50,Brøndby IF,Others,No,2,Left,Defence
J. Lindstrøm,18,Denmark,50,Brøndby IF,Others,No,2,Right,MidField
J. Speroni,39,Argentina,68,Crystal Palace,Others,No,8,Right,GoalKeeper
R. Gorman,24,Republic of Ireland,53,Bray Wanderers,Others,No,1,Right,Defence
